,Количество лайков,Количество треков,Количество альбомов,Жанры,Страница Википедии
Pitbull,176825,543,123,"['pop', 'rap', 'dance']",http://en.wikipedia.org/wiki/Pitbull (rapper)
Breaking Benjamin,115285,87,10,['alternativemetal'],http://en.wikipedia.org/wiki/Breaking Benjamin
The All‐American Rejects,6439,60,16,"['alternative', 'rock', 'pop']",http://en.wikipedia.org/wiki/The All-American Rejects
Bon Iver,14235,68,11,['indie'],http://en.wikipedia.org/wiki/Bon Iver
The Velvet Underground,18314,118,19,['rock'],http://en.wikipedia.org/wiki/The Velvet Underground
Joy Division,54230,66,17,['rock'],http://en.wikipedia.org/wiki/Joy Division
Feist,4196,105,14,"['indie', 'pop', 'electronics']",http://en.wikipedia.org/wiki/Feist (singer)
Leslie Feist,3,1,0,[],http://en.wikipedia.org/wiki/Feist (singer)
Counting Crows,1820,119,15,"['rock', 'pop', 'alternative']",http://en.wikipedia.org/wiki/Counting Crows
Kylie Minogue,46785,456,107,['pop'],http://en.wikipedia.org/wiki/Kylie Minogue
Sufjan Stevens,13536,428,32,"['alternative', 'electronics', 'indie']",http://en.wikipedia.org/wiki/Sufjan Stevens
Nas,78629,616,35,['rap'],http://en.wikipedia.org/wiki/Nas
Alice in Chains,28819,109,7,"['rock', 'alternative', 'electronics']",http://en.wikipedia.org/wiki/Alice in Chains
Ludacris,53373,367,39,"['rap', 'rnb', 'pop']",http://en.wikipedia.org/wiki/Ludacris
Fatboy Slim,71405,292,60,['breakbeatgenre'],http://en.wikipedia.org/wiki/Fatboy Slim
Ellie Goulding,132494,168,32,"['pop', 'dance', 'edmgenre']",http://en.wikipedia.org/wiki/Ellie Goulding
The xx,447493,80,21,['indie'],http://en.wikipedia.org/wiki/The xx
Lynyrd Skynyrd,23899,217,41,"['rock', 'hardrock']",http://en.wikipedia.org/wiki/Lynyrd Skynyrd
Bob Marley & The Wailers,137590,383,60,"['reggae', 'pop', 'dance']",http://en.wikipedia.org/wiki/Bob Marley and the Wailers
Marvin Gaye,251932,897,160,"['rnb', 'jazz', 'blues']",http://en.wikipedia.org/wiki/Marvin Gaye
Dido,27558,132,13,"['pop', 'electronics', 'dance']",http://en.wikipedia.org/wiki/Dido (singer)
Nelly,45930,261,38,['rap'],http://en.wikipedia.org/wiki/Nelly
M83,99316,178,18,"['alternative', 'electronics', 'films']",http://en.wikipedia.org/wiki/M83 (band)
Timbaland,142548,329,41,"['rap', 'pop', 'dance']",http://en.wikipedia.org/wiki/Timbaland
Soundgarden,15638,158,19,"['rock', 'alternative', 'rnr']",http://en.wikipedia.org/wiki/Soundgarden
Lana Del Rey,1581673,180,27,['pop'],http://en.wikipedia.org/wiki/Lana Del Rey
Jason Derulo,104364,171,54,"['pop', 'dance', 'rnb']",http://en.wikipedia.org/wiki/Jason Derulo
Robbie Williams,131433,343,73,['pop'],http://en.wikipedia.org/wiki/Robbie Williams
