,Количество лайков,Количество треков,Количество альбомов,Жанры,Страница Википедии
Siouxsie and the Banshees,45316,152,15,"['rock', 'punk']",http://en.wikipedia.org/wiki/Siouxsie and the Banshees
The Crystal Method,24562,194,30,['breakbeatgenre'],http://en.wikipedia.org/wiki/The Crystal Method
Danny Elfman,3677,1042,47,"['films', 'soundtrack', 'alternative']",http://en.wikipedia.org/wiki/Danny Elfman
Story of the Year,59526,78,9,['posthardcore'],http://en.wikipedia.org/wiki/Story of the Year
Clint Mansell,5843,333,22,"['films', 'soundtrack']",http://en.wikipedia.org/wiki/Clint Mansell
The Vaccines,7196,100,3,"['indie', 'alternative', 'rock']",http://en.wikipedia.org/wiki/The Vaccines
Curtis Mayfield,3052,236,34,"['rnb', 'soul', 'soundtrack']",http://en.wikipedia.org/wiki/Curtis Mayfield
Clean Bandit,472742,138,37,"['dance', 'electronics', 'pop']",http://en.wikipedia.org/wiki/Clean Bandit
Everything but the Girl,3099,191,20,"['pop', 'dance', 'rock']",http://en.wikipedia.org/wiki/Everything but the Girl
Sneaker Pimps,4203,99,18,['triphopgenre'],http://en.wikipedia.org/wiki/Sneaker Pimps
Burial,15815,78,20,['bassgenre'],http://en.wikipedia.org/wiki/Burial (musician)
Pixie Lott,2810,92,21,"['pop', 'dance', 'soundtrack']",http://en.wikipedia.org/wiki/Pixie Lott
Matt & Kim,1296,74,19,['indie'],http://en.wikipedia.org/wiki/Matt and Kim
Kenny Chesney,3817,134,5,"['country', 'holiday']",http://en.wikipedia.org/wiki/Kenny Chesney
Yeasayer,688,34,5,"['alternative', 'rock', 'electronics']",http://en.wikipedia.org/wiki/Yeasayer
The Jesus and Mary Chain,3667,149,8,"['alternative', 'rock']",http://en.wikipedia.org/wiki/The Jesus and Mary Chain
Carpenters,1986,245,26,"['pop', 'holiday', 'rock']",http://en.wikipedia.org/wiki/The Carpenters
The Lonely Island,3755,90,7,"['foreignrap', 'soundtrack']",
Deerhunter,1883,94,13,['indie'],http://en.wikipedia.org/wiki/Deerhunter
The Bangles,1688,99,10,"['rock', 'pop', 'alternative']",http://en.wikipedia.org/wiki/The Bangles
Simian Mobile Disco,679,44,11,"['pop', 'electronics', 'house']",http://en.wikipedia.org/wiki/Simian Mobile Disco
Barry White,39695,310,63,"['rnb', 'soul', 'estrada']",http://en.wikipedia.org/wiki/Barry White
Mazzy Star,7357,52,6,"['alternative', 'indie', 'pop']",http://en.wikipedia.org/wiki/Mazzy Star
Ra Ra Riot,479,56,11,['indie'],http://en.wikipedia.org/wiki/Ra Ra Riot
Vangelis,16357,327,34,['newage'],http://en.wikipedia.org/wiki/Vangelis
Boney M.,824590,200,7,"['pop', 'estrada', 'dance']",http://en.wikipedia.org/wiki/Boney M.
M. Ward,148,102,11,"['alternative', 'jazz', 'country']",http://en.wikipedia.org/wiki/M. Ward
Camera Obscura,574,56,10,"['alternative', 'pop', 'rock']",http://en.wikipedia.org/wiki/Camera Obscura (band)
Hard‐Fi,1342,50,17,"['rock', 'alternative', 'indie']",http://en.wikipedia.org/wiki/Hard-Fi
Take That,7687,152,22,"['pop', 'dance']",http://en.wikipedia.org/wiki/Take That
"Crosby, Stills, Nash & Young",1145,170,9,['folkrock'],"http://en.wikipedia.org/wiki/Crosby, Stills, Nash & Young"
Kavinsky,29649,34,7,['electronics'],http://en.wikipedia.org/wiki/Kavinsky
Johannes Brahms,138394,58021,4916,"['classical', 'classicalmasterpieces', 'pop']",
Roxy Music,14101,107,27,"['pop', 'rock', 'newwave']",http://en.wikipedia.org/wiki/Roxy Music
Eric Prydz,14324,42,6,"['dance', 'electronics', 'house']",http://en.wikipedia.org/wiki/Eric Prydz
Neil Diamond,1490,537,67,"['pop', 'rock', 'holiday']",http://en.wikipedia.org/wiki/Neil Diamond
Alphaville,28063,182,25,"['pop', 'electronics']",http://en.wikipedia.org/wiki/Alphaville (band)
Thrice,3,25,1,['jazz'],
Phantom Planet,475,63,5,"['alternative', 'rock', 'pop']",http://en.wikipedia.org/wiki/Phantom Planet
Coheed and Cambria,13808,122,10,"['prog', 'rock', 'alternative']",http://en.wikipedia.org/wiki/Coheed and Cambria
Alkaline Trio,4020,151,18,['punk'],http://en.wikipedia.org/wiki/Alkaline Trio
CocoRosie,3639,64,7,['indie'],http://en.wikipedia.org/wiki/CocoRosie
Flogging Molly,4327,41,6,['punk'],http://en.wikipedia.org/wiki/Flogging Molly
Martin Solveig,54062,160,43,"['dance', 'electronics', 'house']",http://en.wikipedia.org/wiki/Martin Solveig
The Corrs,1076,134,19,"['pop', 'holiday']",http://en.wikipedia.org/wiki/The Corrs
Tokyo Police Club,987,81,11,['indie'],http://en.wikipedia.org/wiki/Tokyo Police Club
Lloyd,1965,383,70,"['rap', 'soul', 'rnb']",http://en.wikipedia.org/wiki/Lloyd (singer)
The Coral,2045,152,7,"['indie', 'pop', 'alternative']",http://en.wikipedia.org/wiki/The Coral
Alter Bridge,8996,108,13,"['rock', 'alternative']",http://en.wikipedia.org/wiki/Alter Bridge
Mike Oldfield,10906,317,34,['newage'],http://en.wikipedia.org/wiki/Mike Oldfield
Damian Marley,117392,161,18,"['reggae', 'rap', 'electronics']",http://en.wikipedia.org/wiki/Damian Marley
Mastodon,276307,122,21,['progmetal'],http://en.wikipedia.org/wiki/Mastodon (band)
hellogoodbye,476,103,16,"['rock', 'pop', 'alternative']",http://en.wikipedia.org/wiki/Hellogoodbye
Daniel Powter,2908,47,11,"['pop', 'dance', 'japanesepop']",http://en.wikipedia.org/wiki/Daniel Powter
Wolf Parade,870,66,8,"['indie', 'alternative', 'rock']",http://en.wikipedia.org/wiki/Wolf Parade
Built to Spill,1104,126,18,"['alternative', 'rock', 'indie']",http://en.wikipedia.org/wiki/Built to Spill
Tom Jones,22226,664,73,['estrada'],http://en.wikipedia.org/wiki/Tom Jones (singer)
Little Dragon,2188,137,35,"['electronics', 'pop', 'dance']",http://en.wikipedia.org/wiki/Little Dragon
Ginuwine,2535,115,4,"['rnb', 'pop', 'dance']",http://en.wikipedia.org/wiki/Ginuwine
The Wallflowers,784,95,12,"['rock', 'pop', 'alternative']",http://en.wikipedia.org/wiki/The Wallflowers
Erik Satie,56476,11701,1054,"['classical', 'pop', 'classicalmasterpieces']",
All That Remains,12218,100,10,['metalcoregenre'],http://en.wikipedia.org/wiki/All That Remains (band)
Omarion,2744,137,16,"['rnb', 'pop', 'rap']",http://en.wikipedia.org/wiki/Omarion
Orbital,7979,170,33,['idmgenre'],http://en.wikipedia.org/wiki/Orbital (band)
Serj Tankian,114387,307,33,"['rock', 'classical', 'films']",http://en.wikipedia.org/wiki/Serj Tankian
Suede,4298,230,37,"['rock', 'pop']",http://en.wikipedia.org/wiki/Suede (band)
Blonde Redhead,6943,134,20,['indie'],http://en.wikipedia.org/wiki/Blonde Redhead
The Jam,1365,165,16,['rock'],http://en.wikipedia.org/wiki/The Jam
Dinosaur Jr.,2046,160,20,"['alternative', 'rock', 'indie']",http://en.wikipedia.org/wiki/Dinosaur Jr.
Derek and the Dominos,14020,39,5,"['rock', 'blues', 'pop']",http://en.wikipedia.org/wiki/Derek and the Dominos
Macy Gray,3599,189,26,"['pop', 'rnb', 'soul']",http://en.wikipedia.org/wiki/Macy Gray
Erasure,5908,425,49,"['pop', 'folk', 'electronics']",http://en.wikipedia.org/wiki/Erasure
Chromeo,17442,187,34,['disco'],http://en.wikipedia.org/wiki/Chromeo
Jem,3504,44,5,"['pop', 'electronics']",http://en.wikipedia.org/wiki/Jem (singer)
Goldfinger,4449,118,5,"['punk', 'alternative', 'rock']",http://en.wikipedia.org/wiki/Goldfinger (band)
Stevie Ray Vaughan,22569,173,13,"['rock', 'blues', 'soul']",http://en.wikipedia.org/wiki/Stevie Ray Vaughan
Dead Kennedys,15000,109,16,"['rock', 'punk']",http://en.wikipedia.org/wiki/Dead Kennedys
Talib Kweli,3473,539,68,"['rap', 'foreignrap', 'soul']",http://en.wikipedia.org/wiki/Talib Kweli
Opeth,58300,131,19,['progmetal'],http://en.wikipedia.org/wiki/Opeth
Four Tops,1798,527,69,"['rnb', 'pop', 'soul']",http://en.wikipedia.org/wiki/Four Tops
The Stranglers,44500,311,34,"['pop', 'rock', 'newwave']",http://en.wikipedia.org/wiki/The Stranglers
Young the Giant,8921,57,10,['indie'],http://en.wikipedia.org/wiki/Young the Giant
Chase & Status,82996,141,31,['dnb'],http://en.wikipedia.org/wiki/Chase & Status
Muddy Waters,43404,1599,266,"['blues', 'jazz', 'pop']",http://en.wikipedia.org/wiki/Muddy Waters
Crowded House,1962,169,17,"['rock', 'pop', 'electronics']",http://en.wikipedia.org/wiki/Crowded House
Adema,4951,41,2,['numetal'],http://en.wikipedia.org/wiki/Adema
John Lee Hooker,113186,1956,443,"['blues', 'jazz', 'pop']",http://en.wikipedia.org/wiki/John Lee Hooker
G-Unit,21192,96,7,"['rap', 'pop', 'foreignrap']",http://en.wikipedia.org/wiki/G-Unit
Starsailor,3022,65,15,['indie'],http://en.wikipedia.org/wiki/Starsailor (band)
Aloe Blacc,335860,317,62,"['dance', 'pop', 'rap']",http://en.wikipedia.org/wiki/Aloe Blacc
Anti‐Flag,32129,208,22,['punk'],http://en.wikipedia.org/wiki/Anti-Flag
Ashanti,12110,220,32,"['rnb', 'soul', 'rap']",http://en.wikipedia.org/wiki/Ashanti (singer)
Obie Trice,14712,144,20,"['rap', 'foreignrap', 'pop']",http://en.wikipedia.org/wiki/Obie Trice
Matisyahu,46335,138,22,['reggae'],http://en.wikipedia.org/wiki/Matisyahu
Bone Thugs‐n‐Harmony,1406,545,46,"['rap', 'foreignrap', 'dance']",http://en.wikipedia.org/wiki/Bone Thugs-n-Harmony
Boyz II Men,11073,210,23,"['rnb', 'rap', 'holiday']",http://en.wikipedia.org/wiki/Boyz II Men
Bow Wow,718,99,16,"['rap', 'pop', 'rock']",http://en.wikipedia.org/wiki/Bow Wow (band)
The Chainsmokers,202558,91,7,['edmgenre'],http://en.wikipedia.org/wiki/The Chainsmokers
Lacuna Coil,46206,128,0,['alternativemetal'],http://en.wikipedia.org/wiki/Lacuna Coil
Spin Doctors,536,61,3,"['pop', 'rock', 'reggae']",http://en.wikipedia.org/wiki/Spin Doctors
George Frideric Handel,199977,65203,3056,"['classical', 'classicalmasterpieces', 'holiday']",
Suzanne Vega,4968,158,26,"['rock', 'pop', 'folk']",http://en.wikipedia.org/wiki/Suzanne Vega
The Walkmen,505,99,11,"['alternative', 'pop', 'rock']",http://en.wikipedia.org/wiki/The Walkmen
Porcupine Tree,25900,178,23,"['rock', 'prog']",http://en.wikipedia.org/wiki/Porcupine Tree
Miguel,56756,220,21,"['rnb', 'rap', 'country']",http://en.wikipedia.org/wiki/Miguel (singer)
Twisted Sister,45701,115,19,"['classicmetal', 'rock', 'hardrock']",http://en.wikipedia.org/wiki/Twisted Sister
Death From Above,2680,47,12,"['alternative', 'rock']",http://en.wikipedia.org/wiki/Death from Above (band)
Olly Murs,20122,111,2,"['pop', 'dance', 'electronics']",http://en.wikipedia.org/wiki/Olly Murs
The Neighbourhood,460620,87,1,['indie'],http://en.wikipedia.org/wiki/The Neighbourhood
The Pogues,1803,180,20,['folkrock'],http://en.wikipedia.org/wiki/The Pogues
The Futureheads,598,72,12,"['rock', 'alternative', 'prog']",http://en.wikipedia.org/wiki/The Futureheads
Matt Nathanson,947,175,23,['indie'],http://en.wikipedia.org/wiki/Matt Nathanson
Chris Isaak,339196,201,16,"['rock', 'pop', 'holiday']",http://en.wikipedia.org/wiki/Chris Isaak
Amos Lee,853,151,24,"['foreignbard', 'folkrock', 'jazz']",http://en.wikipedia.org/wiki/Amos Lee
Tycho,5575,103,29,['idmgenre'],
She & Him,2072,88,8,"['pop', 'alternative', 'rock']",http://en.wikipedia.org/wiki/She & Him
Icona Pop,4891,130,38,"['pop', 'dance', 'electronics']",http://en.wikipedia.org/wiki/Icona Pop
Cheap Trick,1786,264,16,"['rock', 'hardrock', 'punk']",http://en.wikipedia.org/wiki/Cheap Trick
Eagles of Death Metal,4617,58,7,"['rock', 'holiday', 'alternative']",http://en.wikipedia.org/wiki/Eagles of Death Metal
Max Richter,30055,668,61,[],http://en.wikipedia.org/wiki/Max Richter
Gary Jules,1303,18,2,"['alternative', 'folkrock']",http://en.wikipedia.org/wiki/Gary Jules
Dizzee Rascal,9341,186,37,"['rap', 'dance', 'pop']",http://en.wikipedia.org/wiki/Dizzee Rascal
Lindsay Lohan,1902,34,6,"['pop', 'dance']",http://en.wikipedia.org/wiki/Lindsay Lohan
Madness,6567,246,24,"['ska', 'pop', 'rnb']",http://en.wikipedia.org/wiki/Madness (band)
Frank Zappa,6463,1580,121,"['rock', 'prog', 'modern']",http://en.wikipedia.org/wiki/Frank Zappa
Washed Out,2115,70,16,"['electronics', 'alternative', 'rap']",http://en.wikipedia.org/wiki/Washed Out
Keith Urban,1424,155,23,"['pop', 'country', 'dance']",http://en.wikipedia.org/wiki/Keith Urban
Sugarcult,922,41,4,"['alternative', 'rock']",http://en.wikipedia.org/wiki/Sugarcult
Infected Mushroom,278560,201,59,['trance'],http://en.wikipedia.org/wiki/Infected Mushroom
Ólafur Arnalds,20638,217,43,['modern'],http://en.wikipedia.org/wiki/Ólafur Arnalds
Cam’ron,290,462,45,[],http://en.wikipedia.org/wiki/Cam'ron
Meat Loaf,2897,204,23,"['rock', 'pop']",http://en.wikipedia.org/wiki/Meat Loaf
Jamie Foxx,542,158,3,['rnb'],http://en.wikipedia.org/wiki/Jamie Foxx
Commodores,19705,180,35,"['rnb', 'pop', 'funk']",http://en.wikipedia.org/wiki/Commodores
Chiddy Bang,372,94,24,"['rap', 'edmgenre', 'pop']",http://en.wikipedia.org/wiki/Chiddy Bang
Alexi Murdoch,1916,22,4,"['alternative', 'folkrock']",http://en.wikipedia.org/wiki/Alexi Murdoch
The Moody Blues,5283,290,35,"['rock', 'pop', 'prog']",http://en.wikipedia.org/wiki/The Moody Blues
Devo,27032,132,14,"['rock', 'alternative', 'electronics']",http://en.wikipedia.org/wiki/Devo
Vance Joy,259578,45,14,['foreignbard'],http://en.wikipedia.org/wiki/Vance Joy
The Rasmus,625766,139,36,['alternative'],http://en.wikipedia.org/wiki/The Rasmus
John Denver,30860,402,22,"['country', 'foreignbard', 'rock']",http://en.wikipedia.org/wiki/John Denver
Charli XCX,57442,226,49,"['pop', 'dance', 'electronics']",http://en.wikipedia.org/wiki/Charli XCX
Michelle Branch,299,63,6,['pop'],http://en.wikipedia.org/wiki/Michelle Branch
Antony and the Johnsons,3212,69,15,['indie'],http://en.wikipedia.org/wiki/Antony and the Johnsons
The 1975,25383,95,20,['indie'],http://en.wikipedia.org/wiki/The 1975
Aqualung,496,99,18,"['alternative', 'pop']",http://en.wikipedia.org/wiki/Aqualung (musician)
Madeleine Peyroux,3658,131,11,['vocaljazz'],http://en.wikipedia.org/wiki/Madeleine Peyroux
Flying Lotus,4456,32,4,['bassgenre'],http://en.wikipedia.org/wiki/Flying Lotus
twenty one pilots,1407474,67,12,['indie'],http://en.wikipedia.org/wiki/Twenty One Pilots
Adam Lambert,38046,139,17,"['pop', 'rock', 'dance']",http://en.wikipedia.org/wiki/Adam Lambert
Method Man,17599,437,39,['rap'],http://en.wikipedia.org/wiki/Method Man
Estelle,3271,228,41,"['soul', 'pop', 'rnb']",http://en.wikipedia.org/wiki/Estelle (musician)
Paul Oakenfold,11584,236,52,"['dance', 'electronics', 'pop']",http://en.wikipedia.org/wiki/Paul Oakenfold
Steely Dan,1781,169,30,"['rock', 'pop', 'jazz']",http://en.wikipedia.org/wiki/Steely Dan
Kenny Loggins,1405,137,5,"['pop', 'rock', 'children']",http://en.wikipedia.org/wiki/Kenny Loggins
Daughter,47313,59,13,"['indie', 'alternative', 'pop']",http://en.wikipedia.org/wiki/Daughter (band)
Andy Williams,7544,1127,195,"['pop', 'films', 'holiday']",http://en.wikipedia.org/wiki/Andy Williams
Sick Puppies,21301,54,12,['alternativemetal'],http://en.wikipedia.org/wiki/Sick Puppies
Ja Rule,4423,204,14,"['rap', 'pop', 'rnb']",http://en.wikipedia.org/wiki/Ja Rule
Skid Row,17011,57,6,"['hardrock', 'classicmetal', 'metal']",http://en.wikipedia.org/wiki/Skid Row (American band)
The Academy Is…,1334,48,8,"['alternative', 'rock', 'punk']",http://en.wikipedia.org/wiki/The Academy Is...
"Tyler, the Creator",115212,179,5,"['rap', 'rnb', 'foreignrap']","http://en.wikipedia.org/wiki/Tyler, the Creator"
The B‐52s,3138,78,15,"['pop', 'rock', 'alternative']",http://en.wikipedia.org/wiki/The B-52's
Plies,525,407,61,"['rap', 'foreignrap', 'pop']",http://en.wikipedia.org/wiki/Plies (rapper)
Feeder,1592,224,53,"['rock', 'alternative']",http://en.wikipedia.org/wiki/Feeder (band)
Red,34403,93,2,"['rock', 'alternative']",http://en.wikipedia.org/wiki/Red (band)
Orchestral Manoeuvres in the Dark,2047,288,30,"['pop', 'electronics', 'alternative']",http://en.wikipedia.org/wiki/Orchestral Manoeuvres in the Dark
Neon Trees,4878,65,15,['alternative'],http://en.wikipedia.org/wiki/Neon Trees
Aimee Mann,419,88,11,"['pop', 'rock', 'soundtrack']",http://en.wikipedia.org/wiki/Aimee Mann
Tim McGraw,977,279,33,"['country', 'rap', 'pop']",
Twista,1364,510,81,"['rap', 'rnb', 'pop']",http://en.wikipedia.org/wiki/Twista
Rogue Wave,475,104,16,['indie'],http://en.wikipedia.org/wiki/Rogue Wave (band)
Pat Benatar,4145,162,29,"['rock', 'hardrock', 'holiday']",http://en.wikipedia.org/wiki/Pat Benatar
Five for Fighting,737,77,15,"['foreignbard', 'indie', 'pop']",http://en.wikipedia.org/wiki/Five for Fighting
Walk the Moon,7518,67,1,['rock'],http://en.wikipedia.org/wiki/Walk the Moon
Sarah Vaughan,20527,3470,513,['vocaljazz'],http://en.wikipedia.org/wiki/Sarah Vaughan
LL Cool J,5509,251,18,"['rap', 'rnb', 'foreignrap']",http://en.wikipedia.org/wiki/LL Cool J
Amerie,2265,70,3,"['pop', 'rnb', 'rap']",http://en.wikipedia.org/wiki/Amerie
Scooter,448515,274,80,"['electronics', 'dance', 'trance']",http://en.wikipedia.org/wiki/Scooter (band)
Ben Folds Five,153,66,4,"['pop', 'rock']",http://en.wikipedia.org/wiki/Ben Folds Five
Tove Lo,52073,177,34,['pop'],http://en.wikipedia.org/wiki/Tove Lo
CHVRCHΞS,21659,100,27,['electronics'],http://en.wikipedia.org/wiki/Chvrches
Mr. Scruff,581,107,28,"['electronics', 'dance']",http://en.wikipedia.org/wiki/Mr. Scruff
The Pretty Reckless,217546,56,7,"['hardrock', 'alternative', 'rock']",http://en.wikipedia.org/wiki/Taylor Momsen
The Wanted,2825,99,17,"['pop', 'dance']",http://en.wikipedia.org/wiki/The Wanted
Thelonious Monk,15100,1786,399,['bebopgenre'],http://en.wikipedia.org/wiki/Thelonious Monk
REO Speedwagon,1683,181,11,"['rock', 'hardrock']",http://en.wikipedia.org/wiki/REO Speedwagon
Reel Big Fish,44995,204,11,['ska'],http://en.wikipedia.org/wiki/Reel Big Fish
Jurassic 5,892,65,7,"['rap', 'pop', 'dance']",http://en.wikipedia.org/wiki/Jurassic 5
The Magnetic Fields,647,135,11,['indie'],http://en.wikipedia.org/wiki/The Magnetic Fields
Ill Niño,19320,82,9,['numetal'],http://en.wikipedia.org/wiki/Ill Niño
The Cribs,839,33,6,['indie'],http://en.wikipedia.org/wiki/The Cribs
Aqua,9665,84,21,"['pop', 'classical', 'rap']",http://en.wikipedia.org/wiki/Aqua (band)
Don McLean,1211,330,38,"['pop', 'rock', 'country']",http://en.wikipedia.org/wiki/Don McLean
Blake Shelton,17192,206,37,"['country', 'pop', 'holiday']",http://en.wikipedia.org/wiki/Blake Shelton
Edvard Grieg,122853,18384,1726,"['classical', 'classicalmasterpieces', 'pop']",
Róisín Murphy,5486,143,27,"['electronics', 'pop', 'dance']",http://en.wikipedia.org/wiki/Róisín Murphy
Underoath,12023,108,20,['metalcoregenre'],http://en.wikipedia.org/wiki/Underoath
The New Pornographers,1416,118,16,['indie'],http://en.wikipedia.org/wiki/The New Pornographers
múm,2106,9,1,['pop'],http://en.wikipedia.org/wiki/Múm
Don Henley,1030,99,9,"['rock', 'pop', 'country']",http://en.wikipedia.org/wiki/Don Henley
Ricky Martin,51496,190,1,"['pop', 'latinfolk']",http://en.wikipedia.org/wiki/Ricky Martin
Fat Joe,8991,400,73,"['rap', 'foreignrap', 'pop']",http://en.wikipedia.org/wiki/Fat Joe
Daddy Yankee,331851,456,94,"['latinfolk', 'pop', 'reggaeton']",http://en.wikipedia.org/wiki/Daddy Yankee
Peaches,1764,285,57,['indie'],http://en.wikipedia.org/wiki/Peaches (musician)
Dinah Washington,11608,2617,464,['vocaljazz'],http://en.wikipedia.org/wiki/Dinah Washington
A Fine Frenzy,674,36,12,"['pop', 'rock', 'holiday']",http://en.wikipedia.org/wiki/Alison Sudol
John Mellencamp,398,278,31,"['rock', 'pop', 'alternative']",http://en.wikipedia.org/wiki/John Mellencamp
Kaskade,8976,388,95,"['dance', 'electronics', 'house']",http://en.wikipedia.org/wiki/Kaskade
House of Pain,10512,53,8,"['rap', 'dance']",http://en.wikipedia.org/wiki/House of Pain
Tosca,1018,30,2,['electronics'],http://en.wikipedia.org/wiki/Tosca (band)
Atmosphere,2096,330,35,"['rap', 'foreignrap', 'dance']",http://en.wikipedia.org/wiki/Atmosphere (music group)
Mayday Parade,2479,113,19,"['rock', 'alternative']",http://en.wikipedia.org/wiki/Mayday Parade
Ben E. King,43046,532,124,"['rnb', 'pop', 'soul']",http://en.wikipedia.org/wiki/Ben E. King
Three 6 Mafia,9805,422,28,"['rap', 'pop', 'foreignrap']",http://en.wikipedia.org/wiki/Three 6 Mafia
Chris Rea,796558,411,43,"['pop', 'blues', 'rock']",http://en.wikipedia.org/wiki/Chris Rea
Kid Rock,3942,178,19,"['rock', 'country', 'rap']",http://en.wikipedia.org/wiki/Kid Rock
Martin Garrix,194065,95,27,['edmgenre'],http://en.wikipedia.org/wiki/Martin Garrix
Jackson Browne,505,346,37,"['rock', 'pop', 'allrock']",http://en.wikipedia.org/wiki/Jackson Browne
Haddaway,44942,117,31,"['pop', 'electronics', 'dance']",http://en.wikipedia.org/wiki/Haddaway
Dirty Pretty Things,1167,25,4,['rock'],http://en.wikipedia.org/wiki/Dirty Pretty Things (band)
MSTRKRFT,387,74,12,"['electronics', 'dance', 'techno']",http://en.wikipedia.org/wiki/Mstrkrft
The Whitest Boy Alive,900,23,4,"['alternative', 'dance', 'pop']",http://en.wikipedia.org/wiki/The Whitest Boy Alive
Buzzcocks,3408,237,37,"['rock', 'pop', 'alternative']",http://en.wikipedia.org/wiki/Buzzcocks
Iggy Azalea,74530,153,26,"['rap', 'pop', 'dance']",http://en.wikipedia.org/wiki/Iggy Azalea
Girls Aloud,1094,108,9,['pop'],http://en.wikipedia.org/wiki/Girls Aloud
Paul van Dyk,1024765,326,78,['trance'],http://en.wikipedia.org/wiki/Paul van Dyk
Culture Club,1313,148,26,"['pop', 'electronics', 'rock']",http://en.wikipedia.org/wiki/Culture Club
Thousand Foot Krutch,480802,121,23,['alternativemetal'],http://en.wikipedia.org/wiki/Thousand Foot Krutch
10cc,3504,137,18,"['pop', 'rock', 'soundtrack']",http://en.wikipedia.org/wiki/10cc
Relient K,1067,202,15,"['alternative', 'rock', 'pop']",http://en.wikipedia.org/wiki/Relient K
The Dead Weather,8271,40,2,"['indie', 'alternative', 'blues']",http://en.wikipedia.org/wiki/The Dead Weather
Darude,336018,61,18,['trance'],http://en.wikipedia.org/wiki/Darude
12 Stones,5393,53,7,"['alternative', 'rock']",http://en.wikipedia.org/wiki/12 Stones
Capital Cities,29489,45,6,['indie'],http://en.wikipedia.org/wiki/Capital Cities (band)
Hurts,201843,85,3,"['pop', 'dance']",http://en.wikipedia.org/wiki/Hurts
Toby Keith,62608,295,37,"['country', 'holiday']",http://en.wikipedia.org/wiki/Toby Keith
Wings,22007,216,12,"['rock', 'pop']",http://en.wikipedia.org/wiki/Paul McCartney and Wings
William Fitzsimmons,1399,151,34,"['foreignbard', 'folk', 'pop']",http://en.wikipedia.org/wiki/William Fitzsimmons (musician)
Mat Kearney,1552,98,14,"['pop', 'rock', 'foreignbard']",http://en.wikipedia.org/wiki/Mat Kearney
Silverstein,27058,165,21,['posthardcore'],http://en.wikipedia.org/wiki/Silverstein (band)
Crazy Town,101266,40,10,['alternative'],http://en.wikipedia.org/wiki/Crazy Town
Leftfield,1529,65,6,"['electronics', 'dance', 'pop']",http://en.wikipedia.org/wiki/Leftfield
Sophie Ellis‐Bextor,13354,75,13,"['pop', 'dance', 'electronics']",http://en.wikipedia.org/wiki/Sophie Ellis-Bextor
Badly Drawn Boy,268,179,26,"['alternative', 'rock', 'indie']",http://en.wikipedia.org/wiki/Badly Drawn Boy
Ladyhawke,1714,71,18,"['pop', 'electronics', 'alternative']",http://en.wikipedia.org/wiki/Ladyhawke (musician)
Flume,11915,52,11,['bassgenre'],http://en.wikipedia.org/wiki/Flume (musician)
Bad Company,5042,144,18,"['hardrock', 'rock']",http://en.wikipedia.org/wiki/Bad Company
The Ronettes,2608,72,20,"['rock', 'pop', 'rnb']",http://en.wikipedia.org/wiki/The Ronettes
Jason Aldean,1285,151,3,"['country', 'holiday']",http://en.wikipedia.org/wiki/Jason Aldean
Ace Hood,8053,501,58,"['rap', 'foreignrap', 'soul']",http://en.wikipedia.org/wiki/Ace Hood
Brett Dennen,229,100,13,"['pop', 'foreignbard', 'country']",http://en.wikipedia.org/wiki/Brett Dennen
Franz Liszt,83121,24586,2957,"['classical', 'classicalmasterpieces', 'pop']",
Kygo,204782,84,5,['electronics'],http://en.wikipedia.org/wiki/Kygo
Soundtrack,0,9,1,['trance'],
The Ataris,1323,130,11,"['punk', 'rock']",http://en.wikipedia.org/wiki/The Ataris
Delerium,6799,234,38,['newage'],http://en.wikipedia.org/wiki/Delerium
Asher Roth,192,120,29,"['rap', 'alternative', 'pop']",http://en.wikipedia.org/wiki/Asher Roth
Rudimental,56749,181,38,"['dance', 'pop', 'dnb']",http://en.wikipedia.org/wiki/Rudimental
The Horrors,7518,83,14,"['alternative', 'electronics', 'rock']",http://en.wikipedia.org/wiki/The Horrors
Metro Station,679,47,9,"['pop', 'alternative', 'rock']",http://en.wikipedia.org/wiki/Metro Station (band)
Iyaz,808,42,13,"['pop', 'foreignrap', 'rnb']",http://en.wikipedia.org/wiki/Iyaz
James Vincent McMorrow,3987,96,19,['indie'],http://en.wikipedia.org/wiki/James Vincent McMorrow
The Turtles,2306,155,14,"['rock', 'dance', 'japanesepop']",http://en.wikipedia.org/wiki/The Turtles
Zebrahead,18946,176,17,"['alternative', 'rock', 'pop']",http://en.wikipedia.org/wiki/Zebrahead
Thomas Newman,4391,1007,39,"['films', 'soundtrack', 'animated']",http://en.wikipedia.org/wiki/Thomas Newman
The‐Dream,4972,215,25,"['rnb', 'rap', 'soul']",http://en.wikipedia.org/wiki/The-Dream
Anastacia,17870,132,18,"['pop', 'dance', 'jazz']",http://en.wikipedia.org/wiki/Anastacia
Tech N9ne,79765,910,82,"['rap', 'foreignrap', 'electronics']",http://en.wikipedia.org/wiki/Tech N9ne
Cassie,2320,154,57,"['pop', 'rap', 'rnb']",http://en.wikipedia.org/wiki/Cassie Ventura
Luther Vandross,36021,197,6,"['rnb', 'pop', 'disco']",http://en.wikipedia.org/wiki/Luther Vandross
Jack’s Mannequin,155,54,5,"['alternative', 'pop']",http://en.wikipedia.org/wiki/Jack's Mannequin
Antonín Dvořák,18836,23505,2395,"['classical', 'classicalmasterpieces', 'jazz']",
Édith Piaf,32749,2847,623,['estrada'],http://en.wikipedia.org/wiki/Édith Piaf
