,Количество лайков,Количество треков,Количество альбомов,Жанры,Страница Википедии
James Blunt,54171,123,21,"['pop', 'dance']",http://en.wikipedia.org/wiki/James Blunt
Rise Against,362127,137,19,"['rock', 'punk', 'hardcore']",http://en.wikipedia.org/wiki/Rise Against
Miley Cyrus,175691,158,12,"['pop', 'foreignrap', 'rap']",http://en.wikipedia.org/wiki/Miley Cyrus
The Game,42887,1169,181,"['rap', 'foreignrap', 'pop']",http://en.wikipedia.org/wiki/The Game (rapper)
Lupe Fiasco,8519,171,24,"['rap', 'rnb', 'pop']",http://en.wikipedia.org/wiki/Lupe Fiasco
No Doubt,134593,104,13,"['pop', 'ska', 'rock']",http://en.wikipedia.org/wiki/No Doubt
Bob Marley,1482607,488,90,"['reggae', 'dance', 'ska']",http://en.wikipedia.org/wiki/Bob Marley
Akon,699618,484,87,['rap'],http://en.wikipedia.org/wiki/Akon
Röyksopp,145324,149,49,"['electronics', 'dance', 'house']",http://en.wikipedia.org/wiki/Röyksopp
Pitbull,176324,545,123,"['pop', 'rap', 'dance']",http://en.wikipedia.org/wiki/Pitbull (rapper)
Breaking Benjamin,114076,87,10,['alternativemetal'],http://en.wikipedia.org/wiki/Breaking Benjamin
The All‐American Rejects,6400,60,16,"['alternative', 'rock', 'pop']",http://en.wikipedia.org/wiki/The All-American Rejects
Bon Iver,14154,68,11,['indie'],http://en.wikipedia.org/wiki/Bon Iver
The Velvet Underground,18124,118,19,['rock'],http://en.wikipedia.org/wiki/The Velvet Underground
Joy Division,53517,66,17,['rock'],http://en.wikipedia.org/wiki/Joy Division
Feist,4179,105,14,"['indie', 'pop', 'electronics']",http://en.wikipedia.org/wiki/Feist (singer)
Leslie Feist,3,1,0,[],http://en.wikipedia.org/wiki/Feist (singer)
Counting Crows,1773,119,15,"['rock', 'pop', 'alternative']",http://en.wikipedia.org/wiki/Counting Crows
Kylie Minogue,46368,456,107,['pop'],http://en.wikipedia.org/wiki/Kylie Minogue
Sufjan Stevens,12836,428,32,"['alternative', 'electronics', 'indie']",http://en.wikipedia.org/wiki/Sufjan Stevens
Nas,78248,617,35,['rap'],http://en.wikipedia.org/wiki/Nas
Alice in Chains,28531,109,7,"['rock', 'alternative', 'electronics']",http://en.wikipedia.org/wiki/Alice in Chains
Ludacris,53198,368,39,"['rap', 'rnb', 'pop']",http://en.wikipedia.org/wiki/Ludacris
Fatboy Slim,70932,292,60,['breakbeatgenre'],http://en.wikipedia.org/wiki/Fatboy Slim
Ellie Goulding,132244,169,32,"['pop', 'dance', 'edmgenre']",http://en.wikipedia.org/wiki/Ellie Goulding
The xx,446591,80,21,['indie'],http://en.wikipedia.org/wiki/The xx
Lynyrd Skynyrd,23310,217,41,"['rock', 'hardrock']",http://en.wikipedia.org/wiki/Lynyrd Skynyrd
Bob Marley & The Wailers,122821,384,61,"['reggae', 'pop', 'dance']",http://en.wikipedia.org/wiki/Bob Marley and the Wailers
Marvin Gaye,248873,898,158,"['rnb', 'jazz', 'blues']",http://en.wikipedia.org/wiki/Marvin Gaye
Dido,27025,131,13,"['pop', 'electronics', 'dance']",http://en.wikipedia.org/wiki/Dido (singer)
Nelly,45833,261,38,['rap'],http://en.wikipedia.org/wiki/Nelly
M83,98640,178,18,"['alternative', 'electronics', 'films']",http://en.wikipedia.org/wiki/M83 (band)
Timbaland,138981,329,41,"['rap', 'pop', 'dance']",http://en.wikipedia.org/wiki/Timbaland
Soundgarden,15414,158,19,"['rock', 'alternative', 'rnr']",http://en.wikipedia.org/wiki/Soundgarden
Lana Del Rey,1562727,180,27,['pop'],http://en.wikipedia.org/wiki/Lana Del Rey
Jason Derulo,104012,171,54,"['pop', 'dance', 'rnb']",http://en.wikipedia.org/wiki/Jason Derulo
Robbie Williams,130840,342,73,['pop'],http://en.wikipedia.org/wiki/Robbie Williams
Alanis Morissette,5223,160,17,['foreignbard'],http://en.wikipedia.org/wiki/Alanis Morissette
